ShotMarker Archived Data (generated Feb 11 2026)
Exported 26 strings from Feb 10 to Feb 19 of 2982 total in archive

Feb 19 2026,M1 R1 T11-E8,#11 (11-E8),2258 x 1721,ICFRA F-Class Long Range at 900m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:49.57 am,simulated,7,4,19,-386,-1,2522,0.1,1.1,0.2,0,
,3:49.58 am,simulated,8,2,19,-799,24,2595,0.2,1.2,0.2,0,
,3:50.01 am,off/simulated/warning-measured off target left,9,0,19,-1118,31,2351,0.6,1.1,0.6,0.1,
,3:50.04 am,simulated,10,6,15,-35,-81,2499,-1.1,1.1,0.6,0,

Feb 10 2026,M2 R11 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:49.05 am,sighter/simulated,S1,X,20,22,2,2397,-0.8,1.1,0.2,0,
,3:49.06 am,sighter/simulated,S2,X,20,-51,19,2455,-0.1,1.1,0.2,0,
,3:49.07 am,simulated,1,X,20,-25,-47,2427,-0.9,1.1,0.2,0,
,3:49.09 am,simulated,2,6,19,24,109,2465,-0.5,1.1,0.2,0,
,3:49.11 am,simulated,3,5,20,-75,109,2361,-1.1,1.2,0.2,0,
,3:49.12 am,simulated,4,5,19,-179,31,2488,0.4,1.1,0.6,0,
,3:49.14 am,simulated,5,5,19,171,21,2457,0.8,1.1,0.6,0,
,3:49.15 am,simulated,6,5,16,130,-35,2507,-0.9,1.1,0.2,0,
,3:49.18 am,simulated,7,4,18,132,242,2623,0.3,1.1,0.2,0,
,3:49.21 am,simulated,8,5,16,-105,219,2384,-0.1,1.1,0.2,0,
,3:49.22 am,simulated,9,5,18,-224,123,2548,0.4,1.1,0.2,0,
,3:49.24 am,simulated,10,5,15,-161,-113,2483,-0.5,1.1,0.2,0,

Feb 10 2026,M1 R9 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:47.56 am,sighter/simulated,S1,5,20,145,85,2533,-0.3,1.1,0.2,0,
,3:47.58 am,sighter/simulated,S2,5,19,-171,12,2496,1,1.1,0.2,0,
,3:47.59 am,simulated,1,6,16,-85,39,2440,0.3,1.1,0.6,0,
,3:48.00 am,simulated,2,6,16,-59,-43,2593,0.7,1.1,0.2,0,
,3:48.01 am,simulated,3,X,19,18,25,2313,0.8,1.1,0.2,0,
,3:48.02 am,simulated,4,X,17,39,-38,2510,0.1,1.1,0.2,0,
,3:48.03 am,simulated,5,6,17,91,27,2429,-0.1,1.1,0.2,0,
,3:48.04 am,simulated,6,5,18,187,5,2588,1.1,1.1,0.2,0,
,3:48.05 am,simulated,7,5,16,-29,190,2349,-0.3,1.1,0.2,0,
,3:48.06 am,simulated,8,5,18,-18,-147,2499,0.3,1.2,0.2,0,
,3:48.09 am,simulated,9,5,18,121,206,2584,-0.2,1.1,0.2,0,
,3:48.11 am,simulated,10,5,16,-154,131,2480,-0.4,1.1,0.2,0,

Feb 10 2026,M1 R12 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:45.45 am,sighter/simulated,S1,5,16,-221,-29,2579,0,1.1,0.2,0,
,3:45.46 am,sighter/simulated,S2,5,20,191,79,2519,0.2,1.2,0.2,0,
,3:45.47 am,simulated,1,5,15,-56,193,2494,-0.8,1.2,0.2,0,
,3:45.48 am,simulated,2,X,19,-10,-24,2434,-0.7,1.2,0.2,0,
,3:45.49 am,simulated,3,3,19,426,-156,2423,1.1,1.1,0.2,0,
,3:45.50 am,simulated,4,4,17,-242,134,2319,-1.2,1.1,0.2,0,
,3:45.51 am,simulated,5,5,19,160,-36,2309,-1,1.2,0.2,0,
,3:45.53 am,simulated,6,5,17,-137,15,2379,1.1,1.2,0.2,0,
,3:45.54 am,simulated,7,5,19,-145,-83,2434,-0.3,1.1,0.2,0,
,3:45.55 am,simulated,8,6,17,55,112,2317,-0.3,1.2,0.2,0,
,3:45.57 am,simulated,9,6,16,72,2,2347,0,1.1,0.2,0,
,3:45.58 am,simulated,10,X,19,-29,39,2565,0.7,1.1,0.2,0,

Feb 10 2026,M1 R7 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:45.19 am,sighter/simulated,S1,5,16,92,133,2432,0.1,1.2,0.2,0,
,3:45.20 am,sighter/simulated,S2,6,18,-114,-13,2335,0.8,1.2,0.2,0,
,3:45.21 am,simulated,1,6,17,66,-17,2471,1.1,1.1,0.2,0,
,3:45.22 am,simulated,2,X,18,2,17,2397,-0.9,1.1,0.2,0,
,3:45.23 am,simulated,3,6,18,-43,73,2557,-0.7,1.1,0.2,0,
,3:45.24 am,simulated,4,X,19,-30,-51,2402,-1.1,1.2,0.2,0,
,3:45.25 am,simulated,5,6,18,78,60,2400,0,1.1,0.2,0,
,3:45.26 am,simulated,6,5,18,164,-4,2554,-0.2,1.2,0.2,0,
,3:45.28 am,simulated,7,5,17,237,12,2316,0.5,1.2,0.2,0,
,3:45.29 am,simulated,8,5,19,-166,79,2413,1.1,1.1,0.2,0,
,3:45.30 am,simulated,9,5,20,-63,208,2562,-0.3,1.1,0.2,0,
,3:45.31 am,simulated,10,4,16,-248,-110,2421,0.2,1.1,0.2,0,

Feb 10 2026,M1 R8 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:44.26 am,sighter/simulated,S1,4,20,301,20,2400,-0.7,1.2,0.2,0,
,3:44.27 am,sighter/simulated,S2,5,16,-202,52,2510,-1,1.1,0.2,0,
,3:44.28 am,simulated,1,5,19,-98,-118,2525,-0.8,1.2,0.2,0,
,3:44.29 am,simulated,2,X,17,25,47,2503,0.2,1.1,0.2,0,
,3:44.30 am,simulated,3,6,17,75,-43,2504,-0.7,1.1,0.2,0,
,3:44.31 am,simulated,4,6,19,-101,15,2399,-0.3,1.1,0.2,0,
,3:44.33 am,simulated,5,5,18,119,142,2516,-0.5,1.1,0.2,0,
,3:44.34 am,simulated,6,4,16,-37,315,2345,0.5,1.1,0.2,0,
,3:44.36 am,simulated,7,4,16,-178,-253,2483,-1,1.1,0.2,0.1,
,3:44.36 am,simulated,8,4,18,323,-213,2569,-0.7,1.1,0.2,0,
,3:44.38 am,simulated,9,5,16,153,-136,2390,0.3,1.2,0.2,0,
,3:44.39 am,simulated,10,5,18,-246,-48,2402,1,1.1,0.2,0,

Feb 10 2026,M1 R5 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:43.57 am,sighter/simulated,S1,6,16,41,54,2573,1,1.1,0.2,0,
,3:43.58 am,sighter/simulated,S2,5,17,-190,103,2514,0,1.1,0.2,0,
,3:44.00 am,simulated,1,5,20,180,-37,2441,-1.1,1.2,0.2,0,
,3:44.01 am,simulated,2,5,17,107,139,2452,0.6,1.2,0.2,0,
,3:44.02 am,simulated,3,5,18,-114,-118,2385,0,1.1,0.2,0,
,3:44.03 am,simulated,4,5,16,39,-166,2527,0.9,1.1,0.2,0,
,3:44.04 am,simulated,5,X,18,-5,-66,2439,1,1.2,0.2,0,
,3:44.05 am,simulated,6,5,17,-173,0,2355,0.2,1.2,0.2,0,
,3:44.06 am,simulated,7,6,15,-87,32,2474,-0.8,1.1,0.2,0,
,3:44.09 am,simulated,8,X,18,36,-1,2526,-0.2,1.1,0.2,0,
,3:44.11 am,simulated,9,X,15,-24,48,2580,0.2,1.1,0.2,0,
,3:44.13 am,simulated,10,6,16,-65,-25,2397,1,1.2,0.2,0,
,3:44.14 am,simulated,1,6,16,67,-64,2540,-0.1,1.1,0.2,0,

Feb 10 2026,M1 R11 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:43.23 am,sighter/simulated,S1,6,15,83,0,2486,-0.7,1.1,0.2,0,
,3:43.25 am,sighter/simulated,S2,5,18,-145,62,2606,0.6,1.1,0.2,0,
,3:43.26 am,simulated,1,6,16,101,83,2334,0.9,1.1,0.2,0,
,3:43.27 am,simulated,2,6,16,26,111,2388,0.8,1.1,0.6,0,
,3:43.27 am,simulated,3,6,15,-25,-79,2334,-0.1,1.1,0.2,0,
,3:43.29 am,simulated,4,X,15,-57,15,2509,-0.2,1.1,0.2,0,
,3:43.30 am,simulated,5,5,16,89,-105,2483,1.1,1.1,0.2,0,
,3:43.31 am,simulated,6,5,19,227,-70,2402,-1.1,1.2,0.2,0,
,3:43.32 am,simulated,7,5,19,237,31,2431,-0.9,1.1,0.2,0,
,3:43.33 am,simulated,8,4,16,328,53,2374,-0.9,1.2,0.2,0,
,3:43.34 am,simulated,9,2,19,-657,-100,2466,0.6,1.1,0.2,0,
,3:43.36 am,simulated,10,2,18,555,-306,2313,0.3,1.1,0.2,0.1,

Feb 10 2026,M2 R3 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:33.19 am,sighter/simulated,S1,4,18,-319,86,2622,0.5,1.1,0.2,0,
,3:33.20 am,sighter/simulated,S2,4,19,-245,91,2494,-1.1,1.1,0.2,0,
,3:33.21 am,simulated,1,5,18,-183,82,2313,0.7,1.2,0.2,0,
,3:33.22 am,simulated,2,5,15,-119,60,2619,0.8,1.1,0.2,0,
,3:33.23 am,simulated,3,6,15,-84,27,2368,-0.8,1.1,0.2,0,
,3:33.24 am,simulated,4,X,19,-33,1,2622,-0.3,1.1,0.2,0,
,3:33.25 am,simulated,5,X,17,33,-16,2327,0.4,1.2,0.2,0,
,3:33.26 am,simulated,6,X,15,21,33,2437,1.1,1.1,0.2,0,
,3:33.27 am,simulated,7,5,15,164,-42,2571,0.3,1.2,0.2,0,
,3:33.28 am,simulated,8,3,18,472,-45,2546,0.3,1.1,0.2,0,
,3:33.29 am,simulated,9,2,19,618,-138,2586,0.1,1.2,0.2,0,
,3:33.33 am,simulated,10,4,18,181,-259,2620,-0.9,1.1,0.2,0,

Feb 10 2026,M2 R5 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:32.39 am,sighter/simulated,S1,6,17,111,29,2511,0,1.1,0.2,0,
,3:32.40 am,sighter/simulated,S2,6,20,16,88,2358,0.6,1.1,0.2,0,
,3:32.41 am,simulated,1,6,20,-80,-15,2442,-0.7,1.2,0.2,0,
,3:32.43 am,simulated,2,X,19,-1,-57,2442,0,1.2,0.2,0,
,3:32.45 am,simulated,3,X,19,13,14,2301,-0.2,1.2,0.2,0,
,3:32.50 am,simulated,4,6,19,70,-47,2342,0,1.2,0.2,0,
,3:32.51 am,simulated,5,6,19,115,-7,2588,0.9,1.1,0.2,0,
,3:32.52 am,simulated,6,6,16,-54,59,2540,-0.9,1.2,0.2,0,
,3:32.54 am,simulated,7,X,17,9,7,2336,0.9,1.1,0.2,0,
,3:32.55 am,simulated,8,6,16,60,48,2436,-0.1,1.1,0.2,0,
,3:32.58 am,simulated,9,4,15,371,3,2563,0.8,1.1,0.2,0,
,3:32.59 am,simulated,10,X,18,3,2,2419,0.3,1.1,0.2,0,

Feb 10 2026,M2 R4 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:29.51 am,sighter/simulated,S1,X,16,28,12,2370,0.3,1.1,0.2,0,
,3:29.53 am,sighter/simulated,S2,X,18,3,12,2308,-0.4,1.1,0.2,0,
,3:29.55 am,simulated,1,X,17,-18,-7,2451,1.1,1.2,0.2,0,
,3:29.56 am,simulated,2,X,20,-18,-6,2307,0.8,1.1,0.2,0,
,3:29.56 am,simulated,3,X,18,-15,-4,2577,-0.4,1.1,0.2,0,
,3:29.57 am,simulated,4,X,18,-12,-1,2502,0.7,1.2,0.6,0,
,3:29.58 am,simulated,5,X,19,-11,2,2402,-0.7,1.1,0.2,0,
,3:29.59 am,simulated,6,X,18,-8,3,2302,-0.1,1.1,0.2,0,
,3:30.02 am,simulated,7,X,20,15,-18,2623,0.2,1.2,0.2,0,
,3:30.04 am,simulated,8,6,17,91,-24,2490,0.1,1.1,0.2,0,
,3:30.06 am,simulated,9,6,20,77,42,2396,-0.4,1.1,0.2,0,
,3:30.07 am,simulated,10,X,17,43,28,2568,0.8,1.2,0.2,0,

Feb 10 2026,M2 R2 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:28.31 am,sighter/simulated,S1,X,18,18,21,2543,0,1.2,0.2,0,
,3:28.31 am,sighter/simulated,S2,6,16,94,90,2592,-0.7,1.1,0.2,0,
,3:28.32 am,simulated,1,X,16,-35,27,2471,0.1,1.1,0.2,0,
,3:28.33 am,simulated,2,X,17,-50,15,2454,0.3,1.1,0.2,0,
,3:29.13 am,simulated,3,X,15,32,-30,2316,-0.8,1.1,0.2,0,
,3:29.14 am,simulated,4,6,16,-27,80,2433,0.3,1.2,0.2,0,
,3:29.15 am,simulated,5,6,20,-94,-25,2444,-0.7,1.1,0.2,0,
,3:29.16 am,simulated,6,6,18,94,46,2443,-0.7,1.1,0.6,0,
,3:29.17 am,simulated,7,6,17,-8,-87,2391,0.9,1.1,0.2,0,
,3:29.18 am,simulated,8,6,20,-109,33,2611,1,1.2,0.2,0,
,3:29.23 am,simulated,9,X,17,3,25,2525,-0.4,1.2,0.2,0,
,3:29.24 am,simulated,10,X,17,-14,-11,2425,0.2,1.1,0.2,0,

Feb 10 2026,Chris S,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:26.19 am,sighter/simulated,S1,X,15,-33,2,2349,0.5,1.1,0.2,0,
,3:26.20 am,sighter/simulated,S2,5,20,125,65,2330,0.4,1.1,0.2,0,
,3:26.21 am,simulated,1,X,19,-21,-38,2385,0.3,1.1,0.2,0,
,3:26.23 am,simulated,2,6,16,87,-55,2448,0.9,1.2,0.2,0,
,3:26.24 am,simulated,3,6,17,15,105,2396,1.1,1.1,0.2,0,
,3:26.25 am,simulated,4,5,17,-136,55,2591,-0.3,1.1,0.2,0,
,3:26.26 am,simulated,5,5,20,-130,73,2551,-0.4,1.1,0.2,0,
,3:26.27 am,simulated,6,5,17,-139,-89,2458,0.9,1.1,0.2,0,
